Bin,Start,End,Range,"Value 1","Value 2","Value 3","Value 4","Value 5","Percentage 1","Percentage 2","Percentage 3","Percentage 4","Percentage 5","Accumulated Value 1","Accumulated Value 2","Accumulated Value 3","Accumulated Value 4","Accumulated Value 5","Accumulated Percentage 1","Accumulated Percentage 2","Accumulated Percentage 3","Accumulated Percentage 4","Accumulated Percentage 5"
0,0,0.05,"[0, 0.05)",148,148,148,148,148,1,1,1,1,1,148,148,148,148,148,1,1,1,1,1
1,0.05,0.1,"[0.05, 0.1)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
2,0.1,0.15,"[0.1, 0.15)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
3,0.15,0.2,"[0.15, 0.2)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
4,0.2,0.25,"[0.2, 0.25)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
5,0.25,0.3,"[0.25, 0.3)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
6,0.3,0.35,"[0.3, 0.35)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
7,0.35,0.4,"[0.35, 0.4)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
8,0.4,0.45,"[0.4, 0.45)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
9,0.45,0.5,"[0.45, 0.5)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
10,0.5,0.55,"[0.5, 0.55)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
11,0.55,0.6,"[0.55, 0.6)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
12,0.6,0.65,"[0.6, 0.65)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
13,0.65,0.7,"[0.65, 0.7)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
14,0.7,0.75,"[0.7, 0.75)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
15,0.75,0.8,"[0.75, 0.8)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
16,0.8,0.85,"[0.8, 0.85)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
17,0.85,0.9,"[0.85, 0.9)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
18,0.9,0.95,"[0.9, 0.95)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
19,0.95,1,"[0.95, 1)",0,0,0,0,0,0,0,0,0,0,148,148,148,148,148,1,1,1,1,1
