blmin,blmax,blopt,lh_epsilon,llh
1e-1,100,nr_safe,0.1,-69740.060571
1e-2,100,nr_safe,0.1,-66663.073824
1e-3,100,nr_safe,0.1,-65661.626983
1e-4,100,nr_safe,0.1,-65769.757536
1e-5,100,nr_safe,0.1,-62314.475463
1e-6,100,nr_safe,0.1,-61750.389573
1e-7,100,nr_safe,0.1,-61690.262571
1e-8,100,nr_safe,0.1,-61684.209754
1e-9,100,nr_safe,0.1,-61683.604065
1e-10,100,nr_safe,0.1,-61683.543491
1e-6,1e1,nr_safe,0.1,-61750.389573
1e-6,1e2,nr_safe,0.1,-61750.389573
1e-6,1e3,nr_safe,0.1,-61750.389573
1e-6,1e4,nr_safe,0.1,-61750.389573
1e-6,1e5,nr_safe,0.1,-61750.389573
1e-6,1e6,nr_safe,0.1,-61750.389573
1e-6,100,nr_safe,0.1,-61750.389573
1e-6,100,nr_fast,0.1,-61750.389573
1e-6,100,nr_oldfast,0.1,-61750.389573
1e-6,100,nr_oldsafe,0.1,-61750.389573
1e-6,100,nr_safe,10,-61750.570237
1e-6,100,nr_safe,1,-61750.391750
1e-6,100,nr_safe,0.1,-61750.389573
1e-6,100,nr_safe,0.01,-61750.389573
1e-6,100,nr_safe,0.001,-61750.389461
1e-6,100,nr_safe,0.0001,-61750.389407
